Pallet,Weight,Profit
1,70,14
2,30,4
3,50,15
4,40,7
5,60,12
6,20,3
7,55,10
8,35,5
9,45,8
10,25,6
11,50,10
12,45,9
13,35,7
14,40,8
15,60,14
16,55,13
17,30,5
18,25,3
19,50,11
20,45,10
21,40,7
22,60,15
23,55,14
24,35,6
25,30,4
26,50,12
27,45,11
28,40,7
29,25,5
30,60,15
31,55,13
32,35,6
33,30,5
34,50,12
35,45,11
36,40,7
37,25,5
38,60,15
39,55,14
40,35,6
41,30,4
42,50,11
43,45,10
44,40,7
45,60,15
46,55,13
47,35,6
48,30,5
49,50,12
50,45,11
51,40,7
52,25,4
53,60,15
54,55,14
55,35,6
56,30,5
57,50,12
58,45,11
59,40,7
60,25,4
61,60,15
62,55,13
63,35,6
64,30,5
65,50,12
66,45,11
67,40,7
68,25,4
69,60,15
70,55,14
71,35,6
72,30,5
73,50,12
74,45,11
75,40,7
76,25,4
77,60,15
78,55,13
79,35,6
80,30,5
81,50,12
82,45,11
83,40,7
84,25,4
85,60,15
86,55,14
87,35,6
88,30,5
89,50,12
90,45,11
91,40,7
92,25,4
93,60,15
94,55,13
95,35,6
96,30,5
97,50,12
98,45,11
99,40,7
100,25,4
